rows,cols,implementation,sample,order_slot,elapsed_ms,seed
1024,2048,workspace_reuse,7,1,3.230842,20260829
1024,2048,warp_wrapper,7,2,3.755597,20260829
1024,2048,workspace_reuse,8,0,3.253812,20260829
1024,2048,warp_wrapper,8,1,3.755734,20260829
1024,2048,workspace_fresh,8,2,3.729854,20260829
1024,2048,warp_wrapper,9,0,3.69772,20260829
1024,2048,workspace_fresh,9,1,3.922805,20260829
1024,2048,workspace_reuse,9,2,3.235031,20260829
1024,2048,workspace_fresh,10,0,3.771279,20260829
1024,2048,workspace_reuse,10,1,3.246615,20260829
1024,2048,warp_wrapper,10,2,3.72831,20260829
1024,2048,workspace_reuse,11,0,3.202622,20260829
1024,2048,warp_wrapper,11,1,3.707352,20260829
1024,2048,workspace_fresh,11,2,3.718381,20260829
1024,2048,warp_wrapper,12,0,3.612821,20260829
1024,2048,workspace_fresh,12,1,3.691779,20260829
1024,2048,workspace_reuse,12,2,3.112604,20260829
1024,2048,workspace_fresh,13,0,3.604578,20260829
1024,2048,workspace_reuse,13,1,3.185215,20260829
1024,2048,warp_wrapper,13,2,3.741965,20260829
1024,2048,workspace_reuse,14,0,3.123857,20260829
1024,2048,warp_wrapper,14,1,3.556707,20260829
1024,2048,workspace_fresh,14,2,3.580402,20260829
1024,2048,warp_wrapper,15,0,3.624981,20260829
1024,2048,workspace_fresh,15,1,3.667016,20260829
1024,2048,workspace_reuse,15,2,3.087301,20260829
1024,2048,workspace_fresh,16,0,3.647548,20260829
1024,2048,workspace_reuse,16,1,3.185224,20260829
1024,2048,warp_wrapper,16,2,3.711599,20260829
1024,2048,workspace_reuse,17,0,3.11684,20260829
1024,2048,warp_wrapper,17,1,3.686167,20260829
1024,2048,workspace_fresh,17,2,3.538036,20260829
1024,2048,warp_wrapper,18,0,3.496298,20260829
1024,2048,workspace_fresh,18,1,3.528321,20260829
1024,2048,workspace_reuse,18,2,3.056614,20260829
1024,2048,workspace_fresh,19,0,3.552712,20260829
1024,2048,workspace_reuse,19,1,3.026824,20260829
1024,2048,warp_wrapper,19,2,3.615809,20260829
1024,2048,workspace_reuse,20,0,3.096942,20260829
1024,2048,warp_wrapper,20,1,3.624571,20260829
1024,2048,workspace_fresh,20,2,3.760143,20260829
1024,4097,warp_wrapper,0,0,7.764434,20260829
1024,4097,workspace_fresh,0,1,7.600733,20260829
1024,4097,workspace_reuse,0,2,6.831651,20260829
1024,4097,workspace_fresh,1,0,7.703081,20260829
1024,4097,workspace_reuse,1,1,7.002243,20260829
1024,4097,warp_wrapper,1,2,7.721271,20260829
1024,4097,workspace_reuse,2,0,6.767686,20260829
1024,4097,warp_wrapper,2,1,7.643993,20260829
1024,4097,workspace_fresh,2,2,7.469108,20260829
1024,4097,warp_wrapper,3,0,7.435175,20260829
1024,4097,workspace_fresh,3,1,7.639092,20260829
1024,4097,workspace_reuse,3,2,6.967827,20260829
1024,4097,workspace_fresh,4,0,7.767533,20260829
1024,4097,workspace_reuse,4,1,6.975192,20260829
1024,4097,warp_wrapper,4,2,7.852823,20260829
1024,4097,workspace_reuse,5,0,7.002389,20260829
1024,4097,warp_wrapper,5,1,7.991279,20260829
1024,4097,workspace_fresh,5,2,7.928742,20260829
1024,4097,warp_wrapper,6,0,7.707448,20260829
1024,4097,workspace_fresh,6,1,7.96859,20260829
1024,4097,workspace_reuse,6,2,6.801701,20260829
1024,4097,workspace_fresh,7,0,7.557786,20260829
1024,4097,workspace_reuse,7,1,6.784315,20260829
1024,4097,warp_wrapper,7,2,8.017448,20260829
1024,4097,workspace_reuse,8,0,6.903056,20260829
1024,4097,warp_wrapper,8,1,8.599993,20260829
1024,4097,workspace_fresh,8,2,8.207861,20260829
1024,4097,warp_wrapper,9,0,7.933158,20260829
1024,4097,workspace_fresh,9,1,7.761345,20260829
1024,4097,workspace_reuse,9,2,6.754674,20260829
1024,4097,workspace_fresh,10,0,7.780985,20260829
1024,4097,workspace_reuse,10,1,6.848137,20260829
1024,4097,warp_wrapper,10,2,7.765287,20260829
1024,4097,workspace_reuse,11,0,6.918089,20260829
1024,4097,warp_wrapper,11,1,7.608885,20260829
1024,4097,workspace_fresh,11,2,7.589982,20260829
1024,4097,warp_wrapper,12,0,7.675027,20260829
1024,4097,workspace_fresh,12,1,7.796369,20260829
1024,4097,workspace_reuse,12,2,6.852628,20260829
1024,4097,workspace_fresh,13,0,7.837133,20260829
1024,4097,workspace_reuse,13,1,6.794686,20260829
1024,4097,warp_wrapper,13,2,7.691471,20260829
1024,4097,workspace_reuse,14,0,6.776126,20260829
1024,4097,warp_wrapper,14,1,7.857704,20260829
1024,4097,workspace_fresh,14,2,7.872658,20260829
1024,4097,warp_wrapper,15,0,7.853717,20260829
1024,4097,workspace_fresh,15,1,7.89448,20260829
1024,4097,workspace_reuse,15,2,7.022047,20260829
1024,4097,workspace_fresh,16,0,7.882413,20260829
1024,4097,workspace_reuse,16,1,6.939907,20260829
1024,4097,warp_wrapper,16,2,7.840996,20260829
1024,4097,workspace_reuse,17,0,6.840285,20260829
1024,4097,warp_wrapper,17,1,7.775353,20260829
1024,4097,workspace_fresh,17,2,7.758276,20260829
1024,4097,warp_wrapper,18,0,7.640241,20260829
1024,4097,workspace_fresh,18,1,7.698108,20260829
1024,4097,workspace_reuse,18,2,7.146856,20260829
1024,4097,workspace_fresh,19,0,7.607353,20260829
1024,4097,workspace_reuse,19,1,7.942961,20260829
1024,4097,warp_wrapper,19,2,8.548307,20260829
1024,4097,workspace_reuse,20,0,6.902064,20260829
1024,4097,warp_wrapper,20,1,7.672086,20260829
1024,4097,workspace_fresh,20,2,7.735013,20260829
