rows,cols,implementation,dispatch,scope,sample,order_slot,launches,elapsed_ms,seed
1024,128,cuda_naive,block_shared256,end_to_end_wall,1,2,1,0.343606,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,2,0,100,0.00291711986065,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,2,1,100,0.0108755195141,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,2,2,100,0.00590784013271,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,2,0,1,0.337891,20260829
1024,128,cuda_naive,block_shared256,end_to_end_wall,2,1,1,0.362376,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,2,2,1,0.342934,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,3,0,100,0.0108879995346,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,3,1,100,0.00589983999729,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,3,2,100,0.00288352012634,20260829
1024,128,cuda_naive,block_shared256,end_to_end_wall,3,0,1,0.340394,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,3,1,1,0.35361,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,3,2,1,0.339878,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,4,0,100,0.00593407988548,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,4,1,100,0.00288192003965,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,4,2,100,0.0108624005318,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,4,0,1,0.344194,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,4,1,1,0.340667,20260829
1024,128,cuda_naive,block_shared256,end_to_end_wall,4,2,1,0.345748,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,5,0,100,0.00290143996477,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,5,1,100,0.010876480341,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,5,2,100,0.00607583999634,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,5,0,1,0.408274,20260829
1024,128,cuda_naive,block_shared256,end_to_end_wall,5,1,1,0.400498,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,5,2,1,0.354748,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,6,0,100,0.010911359787,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,6,1,100,0.00590463995934,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,6,2,100,0.0028841599822,20260829
1024,128,cuda_naive,block_shared256,end_to_end_wall,6,0,1,0.355038,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,6,1,1,0.364833,20260829
1024,128,cuda_warp_register,warp_reg4,end_to_end_wall,6,2,1,0.344226,20260829
1024,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,7,0,100,0.0059219199419,20260829
1024,128,cuda_warp_register,warp_reg4,batched_event_per_launch,7,1,100,0.00288608014584,20260829
1024,128,cuda_naive,block_shared256,batched_event_per_launch,7,2,100,0.0108825600147,20260829
1024,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,7,0,1,0.352795,20260829
