rows,cols,implementation,scope,sample,order_slot,elapsed_ms,seed
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,13,1,0.229243189096,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,14,0,0.196505337954,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,14,1,0.230431556702,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,15,0,0.198306515813,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,15,1,0.193618237972,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,16,0,0.206142663956,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,16,1,0.201085582376,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,17,0,0.213133171201,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,17,1,0.221149995923,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,18,0,0.226719304919,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,18,1,0.230262055993,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,19,0,0.230764970183,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,19,1,0.206843018532,20260829
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,20,0,0.199154019356,20260829
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,20,1,0.225946307182,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,0,0,0.00790624022484,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,0,1,0.00892288029194,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,1,0,0.00881280004978,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,1,1,0.00738592028618,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,2,0,0.00617695987225,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,2,1,0.00706752002239,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,3,0,0.00696703970432,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,3,1,0.0059807997942,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,4,0,0.00602079987526,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,4,1,0.00684992015362,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,5,0,0.00678111970425,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,5,1,0.00622816026211,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,6,0,0.00623903989792,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,6,1,0.00688448011875,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,7,0,0.00689152002335,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,7,1,0.00606239974499,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,8,0,0.00606112003326,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,8,1,0.00689152002335,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,9,0,0.0068191999197,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,9,1,0.00602303981781,20260829
